## Transition Structure:
## [current_state],[read_symbol],[to_state],[R] OR [L] OR [write_symbol]
## R means move the tape right, L for left, any other symbol means write that symbol.
## "_" represents the blank symbol

## We must have one accepting state somewhere in the file
accepting-state:end

## This machine shifts a string right by 1, padding with 0

start,0,q1,x
start,1,q2,x
q1,x,q1,R
q1,1,q4,0
q1,0,q0,0
q1,_,park_head,0

q2,x,q2,R
q2,0,q3,1
q2,1,q0,1
q2,_,park_head,1

q0,1,q2,R
q0,0,q1,R

q4,0,q2,R
q3,1,q1,R

park_head,0,park_head,L
park_head,1,park_head,L
park_head,x,end,0
